name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Swift Reconfiguration",1,"Enchantment - Aura",W,"nec","10",rare,White,Owned,Non-foil,false,,,"","",
"Michiko's Reign of Truth",2,"Enchantment - Saga",W,"neo","29",uncommon,White,Owned,Non-foil,false,,,"","",96968
"Enduring Renewal",4,"Enchantment",W,"tsb","7",special,White,Owned,Non-foil,false,,,"","",26047
"Faerie Seer",1,"Creature - Faerie Wizard",U,"mh1","51",common,Blue,Owned,Non-foil,false,,,"","",72474
"Fatestitcher",1,"Creature - Zombie Wizard",U,"ala","43",uncommon,Blue,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/626530271529009172/976698860846063646/Skaab_Seer.png","backside_custom","",31362
"Shrieking Drake",1,"Creature - Drake",U,"vis","43",common,Blue,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/626530271529009172/976946099061415976/Oracle_of_Kruphix_1.png","backside_custom","",7713
"Thought Monitor",1,"Artifact Creature - Construct",U,"mh2","71",rare,Blue,Owned,Non-foil,false,,,"","",90515
"Thousand-Faced Shadow",1,"Creature - Human Ninja",U,"neo","86",rare,Blue,Owned,Non-foil,false,,,"","",97092
"Jace, Vryn's Prodigy",2,"Legendary Creature - Human Wizard",U,"ori","60",mythic,Blue,Owned,Non-foil,false,,,"","",57880
"Ledger Shredder",2,"Creature - Bird Advisor",U,"snc","46",rare,Blue,Owned,Non-foil,false,,,"","",98311
"Moon-Circuit Hacker",2,"Enchantment Creature - Human Ninja",U,"neo","67",common,Blue,Owned,Non-foil,false,,,"","",97054
"Ninja of the Deep Hours",2,"Creature - Human Ninja",U,"tsr","313",special,Blue,Owned,Non-foil,false,,,"","",87003
"Sea Gate Stormcaller",2,"Creature - Human Wizard",U,"znr","77",mythic,Blue,Owned,Non-foil,false,,,"","",83109
"Snapcaster Mage",2,"Creature - Human Wizard",U,"mm3","50",mythic,Blue,Owned,Non-foil,false,,,"","",63517
"Spellskite",2,"Artifact Creature - Phyrexian Horror",,"nph","159",rare,Blue,Owned,Non-foil,false,,,"","",39778
"Spellstutter Sprite",2,"Creature - Faerie Wizard",U,"mma","65",common,Blue,Owned,Non-foil,false,,,"","",48678
"Thassa's Oracle",2,"Creature - Merfolk Wizard",U,"thb","73",rare,Blue,Owned,Non-foil,false,,,"","",79270
"Thieving Skydiver",2,"Creature - Merfolk Rogue",U,"znr","85",rare,Blue,Owned,Non-foil,false,,,"","",83127
"Thing in the Ice",2,"Creature - Horror",U,"soi","92",rare,Blue,Owned,Non-foil,false,,,"","",59868
"Watcher for Tomorrow",2,"Creature - Human Wizard",U,"mh1","76",uncommon,Blue,Owned,Non-foil,false,,,"","",72524
"Emry, Lurker of the Loch",3,"Legendary Creature - Merfolk Wizard",U,"eld","43",rare,Blue,Owned,Non-foil,false,,,"","",78190
"Master of Etherium",3,"Artifact Creature - Vedalken Wizard",U,"2xm","57",rare,Blue,Owned,Non-foil,false,,,"","",82148
"Sai, Master Thopterist",3,"Legendary Creature - Human Artificer",U,"m19","69",rare,Blue,Owned,Non-foil,false,,,"","",68299
"Spellseeker",3,"Creature - Human Wizard",U,"bbd","41",rare,Blue,Owned,Non-foil,false,,,"","",68810
"Vendilion Clique",3,"Legendary Creature - Faerie Wizard",U,"mm2","67",mythic,Blue,Owned,Non-foil,false,,,"","",57380
"Urza, Lord High Artificer",4,"Legendary Creature - Human Artificer",U,"mh1","75",mythic,Blue,Owned,Non-foil,false,,,"","",72522
"Flare of Denial",0,"Instant",U,"mh3","400",rare,Blue,Owned,Non-foil,false,,,"","",125589
"Force of Negation",0,"Instant",U,"mh1","52",rare,Blue,Owned,Non-foil,false,,,"","",72476
"Force of Will",0,"Instant",U,"all","28",uncommon,Blue,Owned,Non-foil,false,,,"","",
"Gush",0,"Instant",U,"jvc","27",common,Blue,Owned,Non-foil,false,,,"","",
"Ancestral Recall",1,"Instant",U,"vma","1",bonus,Blue,Owned,Non-foil,false,,,"","",53177
"Brainstorm",1,"Instant",U,"5ed","76",common,Blue,Owned,Non-foil,false,,,"","",
"Consider",1,"Instant",U,"mid","44",common,Blue,Owned,Non-foil,false,,,"","",93020
"High Tide",1,"Instant",U,"vma","73",uncommon,Blue,Owned,Non-foil,false,,,"","",53217
"Mystical Tutor",1,"Instant",U,"ema","62",rare,Blue,Owned,Non-foil,false,,,"","",60891
"Occult Epiphany",1,"Instant",U,"voc","14",rare,Blue,Owned,Non-foil,false,,,"","",95186
"Opt",1,"Instant",U,"sld","111",rare,Blue,Owned,Non-foil,false,,,"","",82792
"Repeal",1,"Instant",U,"ddn","72",common,Blue,Owned,Non-foil,false,,,"","",
"Spell Pierce",1,"Instant",U,"mm3","51",common,Blue,Owned,Non-foil,false,,,"","",63191
"Spell Snare",1,"Instant",U,"dis","33",uncommon,Blue,Owned,Non-foil,false,,,"","",24113
"Stern Scolding",1,"Instant",U,"ltr","71",uncommon,Blue,Owned,Non-foil,false,,,"","",112052
"Thought Scour",1,"Instant",U,"ddm","21",common,Blue,Owned,Non-foil,false,,,"","",52425
"Brain Freeze",2,"Instant",U,"scg","29",uncommon,Blue,Owned,Non-foil,false,,,"","",18932
"Brazen Borrower",2,"Instant",U,"eld","39",mythic,Blue,Owned,Non-foil,false,,,"","",78180
"Counterspell",2,"Instant",U,"3ed","54",uncommon,Blue,Owned,Non-foil,false,,,"","",
"Daze",2,"Instant",U,"jvc","23",common,Blue,Owned,Non-foil,false,,,"","",
"Dig Through Time",2,"Instant",U,"sld","97",rare,Blue,Owned,Non-foil,false,,,"","",82784
"Impulse",2,"Instant",U,"btd","10",common,Blue,Owned,Non-foil,false,,,"","",
"Mana Drain",2,"Instant",U,"ima","65",mythic,Blue,Owned,Non-foil,false,,,"","",66009
"Mana Leak",2,"Instant",U,"ima","66",common,Blue,Owned,Non-foil,false,,,"","",66011
"Memory Lapse",2,"Instant",U,"7ed","88",common,Blue,Owned,Non-foil,false,,,"","",15684
"Remand",2,"Instant",U,"ddm","26",uncommon,Blue,Owned,Non-foil,false,,,"","",52505
"Snap",2,"Instant",U,"dds","10",common,Blue,Owned,Non-foil,false,,,"","",
"Frantic Search",3,"Instant",U,"ulg","32",common,Blue,Owned,Non-foil,false,,,"","",12615
"Paradoxical Outcome",4,"Instant",U,"kld","60",rare,Blue,Owned,Non-foil,false,,,"","",61909
"Turnabout",4,"Instant",U,"usg","105",uncommon,Blue,Owned,Non-foil,false,,,"","",12103
"Gitaxian Probe",0,"Sorcery",U,"nph","35",common,Blue,Owned,Non-foil,false,,,"","",39976
"Hard Evidence",1,"Sorcery",U,"mh2","46",common,Blue,Owned,Non-foil,false,,,"","",90461
"Ponder",1,"Sorcery",U,"m10","68",common,Blue,Owned,Non-foil,false,,,"","",32923
"Preordain",1,"Sorcery",U,"cmr","84",common,Blue,Owned,Non-foil,false,,,"","",84950
"Serum Visions",1,"Sorcery",U,"mm3","49",uncommon,Blue,Owned,Non-foil,false,,,"","",63505
"Treasure Cruise",1,"Sorcery",U,"uma","79",common,Blue,Owned,Non-foil,false,,,"","",70231
"Chart a Course",2,"Sorcery",U,"jmp","142",uncommon,Blue,Owned,Non-foil,false,,,"","",
"Deep Analysis",2,"Sorcery",U,"tor","36",common,Blue,Owned,Non-foil,false,,,"","",17135
"Time Walk",2,"Sorcery",U,"leb","84",rare,Blue,Owned,Non-foil,false,,,"","",
"Echo of Eons",3,"Sorcery",U,"mh1","46",mythic,Blue,Owned,Non-foil,false,,,"","",72464
"Timetwister",3,"Sorcery",U,"vma","3",bonus,Blue,Owned,Non-foil,false,,,"","",53119
"Tinker",3,"Sorcery",U,"v09","14",mythic,Blue,Owned,Non-foil,false,,,"","",33932
"Mind's Desire",6,"Sorcery",U,"dds","4",rare,Blue,Owned,Non-foil,false,,,"","",
"Time Spiral",6,"Sorcery",U,"usg","103",rare,Blue,Owned,Non-foil,false,,,"","",12385
"Mox Sapphire",0,"Artifact",,"vma","9",bonus,Blue,Owned,Non-foil,false,,,"","",52919
"Aether Spellbomb",1,"Artifact",,"mma","196",common,Blue,Owned,Non-foil,false,,,"","",48916
"Intruder Alarm",3,"Enchantment",U,"sth","34",rare,Blue,Owned,Non-foil,false,,,"","",10293
"Bloodsoaked Champion",1,"Creature - Human Warrior",B,"ktk","66",rare,Black,Owned,Non-foil,false,,,"","",54172
"Carrion Feeder",1,"Creature - Zombie",B,"dde","2",common,Black,Owned,Non-foil,false,,,"","",35501
"Cauldron Familiar",1,"Creature - Cat",B,"jmp","216",common,Black,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/792921990129254422/976939866497622046/Rufus_Secret_Assassin_1.png","backside_custom","",
"Changeling Outcast",1,"Creature - Shapeshifter",B,"mh1","82",common,Black,Owned,Non-foil,false,,,"","",72536
"Cryptbreaker",1,"Creature - Zombie",B,"emn","86",rare,Black,Owned,Non-foil,false,,,"","",61372
"Gravecrawler",1,"Creature - Zombie",B,"ddq","59",rare,Black,Owned,Non-foil,false,,,"","",
"Nested Shambler",1,"Creature - Zombie",B,"mh2","95",common,Black,Owned,Non-foil,false,,,"","",90563
"Putrid Imp",1,"Creature - Zombie Imp",B,"tor","77",common,Black,Owned,Non-foil,false,,,"","",17167
"Refurbished Familiar",1,"Artifact Creature - Zombie Rat",B,"mh3","105",common,Black,Owned,Non-foil,false,,,"","",126227
"Shambling Ghast",1,"Creature - Zombie",B,"afr","119",common,Black,Owned,Non-foil,false,,,"","",91740
"Stitcher's Supplier",1,"Creature - Zombie",B,"plst","M19-121",uncommon,Black,Owned,Non-foil,false,,,"","",
"Vault Skirge",1,"Artifact Creature - Phyrexian Imp",B,"nph","76",common,Black,Owned,Non-foil,false,,,"","",39770
"Viscera Seer",1,"Creature - Vampire Wizard",B,"plst","M11-120",common,Black,Owned,Non-foil,false,,,"","",
"Accursed Marauder",2,"Creature - Zombie Warrior",B,"mh3","405",common,Black,Owned,Non-foil,false,,,"","",125599
"Blood Artist",2,"Creature - Vampire",B,"avr","86",uncommon,Black,Owned,Non-foil,false,,,"","",44105
"Bloodghast",2,"Creature - Vampire Spirit",B,"plst","ZEN-83",rare,Black,Owned,Non-foil,false,,,"","",
"Dark Confidant",2,"Creature - Human Wizard",B,"mm2","75",mythic,Black,Owned,Non-foil,false,,,"","",57344
"Deep-Cavern Bat",2,"Creature - Bat",B,"lci","102",uncommon,Black,Owned,Non-foil,false,,,"","",118008
"Jadar, Ghoulcaller of Nephalia",2,"Legendary Creature - Human Wizard",B,"mid","108",rare,Black,Owned,Non-foil,false,,,"","",93176
"Marionette Apprentice",2,"Creature - Human Artificer",B,"mh3","100",uncommon,Black,Owned,Non-foil,false,,,"","",126217
"Mesmeric Fiend",2,"Creature - Nightmare Horror",B,"ddk","7",common,Black,Owned,Non-foil,false,,,"","",48087
"Nether Traitor",2,"Creature - Spirit",B,"tsr","127",rare,Black,Owned,Non-foil,false,,,"","",86617
"Oona's Prowler",2,"Creature - Faerie Rogue",B,"lrw","133",rare,Black,Owned,Non-foil,false,,,"","",28739
"Priest of Forgotten Gods",2,"Creature - Human Cleric",B,"rna","83",rare,Black,Owned,Non-foil,false,,,"","",71166
"Putrid Goblin",2,"Creature - Zombie Goblin",B,"mh1","101",common,Black,Owned,Non-foil,false,,,"","",72574
"Relentless Dead",2,"Creature - Zombie",B,"soi","131",mythic,Black,Owned,Non-foil,false,,,"","",60018
"Rotting Rats",2,"Creature - Zombie Rat",B,"hop","39",common,Black,Owned,Non-foil,false,,,"","",44454
"Scourge of Nel Toth",2,"Creature - Zombie Dragon",B,"jmp","274",rare,Black,Owned,Non-foil,false,,,"","",
"Scrapheap Scrounger",2,"Artifact Creature - Construct",,"kld","231",rare,Black,Owned,Non-foil,false,,,"","",62087
"Umbral Collar Zealot",2,"Creature - Human Cleric",B,"eoe","123",uncommon,Black,Owned,Non-foil,false,,,"","",142859
"Undead Augur",2,"Creature - Zombie Wizard",B,"mh1","112",uncommon,Black,Owned,Non-foil,false,,,"","",72596
"Undead Butler",2,"Creature - Zombie",B,"vow","133",uncommon,Black,Owned,Non-foil,false,,,"","",94598
"Voldaren Bloodcaster",2,"Creature - Vampire Wizard",B,"vow","137",rare,Black,Owned,Non-foil,false,,,"","",94606
"Zulaport Cutthroat",2,"Creature - Human Rogue Ally",B,"sld","156",rare,Black,Owned,Non-foil,false,,,"","",
"Headless Rider",3,"Creature - Zombie",B,"vow","118",rare,Black,Owned,Non-foil,false,,,"","",94560
"Liliana's Standard Bearer",3,"Creature - Zombie Knight",B,"m21","110",rare,Black,Owned,Non-foil,false,,,"","",81447
"Midnight Reaper",3,"Creature - Zombie Knight",B,"grn","77",rare,Black,Owned,Non-foil,false,,,"","",69527
"Ophiomancer",3,"Creature - Human Shaman",B,"c13","84",rare,Black,Owned,Non-foil,false,,,"","",51344
"Poxwalkers",3,"Creature - Zombie",B,"40k","49",rare,Black,Owned,Non-foil,false,,,"","",108570
"Warren Soultrader",3,"Creature - Zombie Goblin Wizard",B,"mh3","110",rare,Black,Owned,Non-foil,false,,,"","",126237
"Pitiless Plunderer",4,"Creature - Human Pirate",B,"rix","81",uncommon,Black,Owned,Non-foil,false,,,"","",66615
"Flare of Malice",0,"Instant",B,"mh3","408",rare,Black,Owned,Non-foil,false,,,"","",125605
"Snuff Out",0,"Instant",B,"mmq","162",common,Black,Owned,Non-foil,false,,,"","",13495
"Dark Ritual",1,"Instant",B,"leb","99",common,Black,Owned,Non-foil,false,,,"","",
"Darkblast",1,"Instant",B,"rav","82",uncommon,Black,Owned,Non-foil,false,,,"","",23170
"Dismember",1,"Instant",B,"nph","57",uncommon,Black,Owned,Non-foil,false,,,"","",39944
"Fatal Push",1,"Instant",B,"sld","112",rare,Black,Owned,Non-foil,false,,,"","",82794
"Vampiric Tutor",1,"Instant",B,"vis","72",rare,Black,Owned,Non-foil,false,,,"","",7777
"Bitter Triumph",2,"Instant",B,"lci","91",uncommon,Black,Owned,Non-foil,false,,,"","",117986
"Cabal Ritual",2,"Instant",B,"tor","51",common,Black,Owned,Non-foil,false,,,"","",17191
"Lethal Scheme",4,"Instant",B,"ncc","36",rare,Black,Owned,Non-foil,false,,,"","",
"Bone Shards",1,"Sorcery",B,"mh2","395",common,Black,Owned,Non-foil,false,,,"","",91063
"Cabal Therapy",1,"Sorcery",B,"ema","83",uncommon,Black,Owned,Non-foil,false,,,"","",60733
"Dread Fugue",1,"Sorcery",B,"vow","107",uncommon,Black,Owned,Non-foil,false,,,"","",94538
"Dreams of Steel and Oil",1,"Sorcery",B,"bro","92",uncommon,Black,Owned,Non-foil,false,,,"","",104802
"Duress",1,"Sorcery",B,"xln","105",common,Black,Owned,Non-foil,false,,,"","",65226
"Inquisition of Kozilek",1,"Sorcery",B,"cn2","140",rare,Black,Owned,Non-foil,false,,,"","",
"Raven's Crime",1,"Sorcery",B,"mma","95",common,Black,Owned,Non-foil,false,,,"","",48784
"Thoughtseize",1,"Sorcery",B,"ima","110",rare,Black,Owned,Non-foil,false,,,"","",66099
"Collective Brutality",2,"Sorcery",B,"emn","85",rare,Black,Owned,Non-foil,false,,,"","",61144
"Demonic Tutor",2,"Sorcery",B,"ced","105",uncommon,Black,Owned,Non-foil,false,,,"","",
"Diabolic Intent",2,"Sorcery",B,"pls","42",rare,Black,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/626530271529009172/976870613706760212/Disinter_2.png","backside_custom","",15083
"Night's Whisper",2,"Sorcery",B,"ddm","68",uncommon,Black,Owned,Non-foil,false,,,"","",52509
"Yawgmoth's Will",3,"Sorcery",B,"usg","171",rare,Black,Owned,Non-foil,false,,,"","",12349
"Tendrils of Agony",4,"Sorcery",B,"scg","75",uncommon,Black,Owned,Non-foil,false,,,"","",18866
"Mox Jet",0,"Artifact",,"vma","6",bonus,Black,Owned,Non-foil,false,,,"","",52713
"Cranial Plating",2,"Artifact - Equipment",,"c16","249",uncommon,Black,Owned,Non-foil,false,,,"","",
"Wishclaw Talisman",2,"Artifact",B,"eld","110",rare,Black,Owned,Non-foil,false,,,"","",78342
"Bridge from Below",0,"Enchantment",B,"mma","74",rare,Black,Owned,Non-foil,false,,,"","",48874
"Bitterblossom",2,"Tribal Enchantment - Faerie",B,"mm2","71",mythic,Black,Owned,Non-foil,false,,,"","",57054
"The Meathook Massacre",2,"Legendary Enchantment",B,"mid","112",mythic,Black,Owned,Non-foil,false,,,"","",93186
"Zombie Infestation",2,"Enchantment",B,"ody","170",uncommon,Black,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/775507428133044284/1209918664011288646/Zombie_Infestation.png?ex=65e8ab90&is=65d63690&hm=79f9fd13689e6df5e48cf91a325e34b48b48af4791f3f0a91091572f8f4f5421&","backside_custom","",16743
"Anger",0,"Creature - Incarnation",R,"afc","113",uncommon,Red,Owned,Non-foil,false,,,"","",
"Blazing Rootwalla",0,"Creature - Lizard",R,"mh2","115",uncommon,Red,Owned,Non-foil,false,,,"","",90603
"Bomat Courier",1,"Artifact Creature - Construct",R,"kld","199",rare,Red,Owned,Non-foil,false,,,"","",62075
"Dragon's Rage Channeler",1,"Creature - Human Shaman",R,"mh2","121",uncommon,Red,Owned,Non-foil,false,,,"","",90615
"Goblin Welder",1,"Creature - Goblin Artificer",R,"ddu","35",mythic,Red,Owned,Non-foil,false,,,"","",
"Greater Gargadon",1,"Creature - Beast",R,"mma","117",rare,Red,Owned,Non-foil,false,,,"","",49042
"Grim Lavamancer",1,"Creature - Human Wizard",R,"pd2","1",rare,Red,Owned,Non-foil,false,,,"","",39285
"Marauding Mako",1,"Creature - Shark Pirate",R,"dft","138",uncommon,Red,Owned,Non-foil,false,,,"","",136399
"Mons's Goblin Waiters",1,"Creature - Goblin Waiter",R,"unh","82",common,Red,Owned,Non-foil,false,,,"","",
"Conspiracy Theorist",2,"Creature - Human Shaman",R,"stx","94",rare,Red,Owned,Non-foil,false,,,"","",88665
"Dreadhorde Arcanist",2,"Creature - Zombie Wizard",R,"tsr","341",special,Red,Owned,Non-foil,false,,,"","",87059
"Gau, Feral Youth",2,"Legendary Creature - Human Berserker",R,"fic","152",rare,Red,Owned,Non-foil,false,,,"","",140707
"Goblin Engineer",2,"Creature - Goblin Artificer",R,"tsr","345",special,Red,Owned,Non-foil,false,,,"","",87067
"Inti, Seneschal of the Sun",2,"Legendary Creature - Human Knight",R,"lci","156",rare,Red,Owned,Non-foil,false,,,"","",118132
"Krark, the Thumbless",2,"Legendary Creature - Goblin Wizard",R,"cmr","189",rare,Red,Owned,Non-foil,false,,,"","",85160
"Ox of Agonas",2,"Creature - Ox",R,"nec","108",mythic,Red,Owned,Non-foil,false,,,"","",
"Scrapwork Mutt",2,"Artifact Creature - Dog",,"bro","164",common,Red,Owned,Non-foil,false,,,"","",104946
"Young Pyromancer",2,"Creature - Human Shaman",R,"jmp","372",uncommon,Red,Owned,Non-foil,false,,,"","",
"Anax, Hardened in the Forge",3,"Legendary Enchantment Creature - Demigod",R,"thb","125",uncommon,Red,Owned,Non-foil,false,,,"","",79374
"Anje's Ravager",3,"Creature - Vampire Berserker",R,"c19","22",rare,Red,Owned,Non-foil,false,,,"","",77098
"Birgi, God of Storytelling",3,"Legendary Creature - God",R,"khm","123",rare,Red,Owned,Non-foil,false,,,"","",87579
"Detective's Phoenix",3,"Enchantment Creature - Phoenix",R,"mh3","116",rare,Red,Owned,Non-foil,false,,,"","",126249
"Dualcaster Mage",3,"Creature - Human Wizard",R,"c14","34",rare,Red,Owned,Non-foil,false,,,"","",55101
"Glint-Horn Buccaneer",3,"Creature - Minotaur Pirate",R,"m20","141",rare,Red,Owned,Non-foil,false,,,"","",73181
"Imperial Recruiter",3,"Creature - Human Advisor",R,"mh2","281",mythic,Red,Owned,Non-foil,false,,,"","",90985
"Molten Gatekeeper",3,"Artifact Creature - Golem",R,"mh3","128",common,Red,Owned,Non-foil,false,,,"","",126273
"Squee, Goblin Nabob",3,"Legendary Creature - Goblin",R,"c19","152",rare,Red,Owned,Non-foil,false,,,"","",77418
"Pinnacle Monk",5,"Creature - Djinn Monk",R,"mh3","246",uncommon,Red,Owned,Non-foil,false,,,"","",126529
"Chandra, Acolyte of Flame",3,"Legendary Planeswalker - Chandra",R,"m20","126",rare,Red,Owned,Non-foil,false,,,"","",73151
"Flare of Duplication",0,"Instant",R,"mh3","416",rare,Red,Owned,Non-foil,false,,,"","",125621
"Burst Lightning",1,"Instant",R,"zen","119",common,Red,Owned,Non-foil,false,,,"","",34408
"Galvanic Blast",1,"Instant",R,"2xm","125",uncommon,Red,Owned,Non-foil,false,,,"","",82284
"Lava Dart",1,"Instant",R,"mh1","134",common,Red,Owned,Non-foil,false,,,"","",72640
"Lightning Bolt",1,"Instant",R,"ced","162",common,Red,Owned,Non-foil,false,,,"","",
"Unholy Heat",1,"Instant",R,"mh2","145",common,Red,Owned,Non-foil,false,,,"","",90667
"Abrade",2,"Instant",R,"2xm","114",common,Red,Owned,Non-foil,false,,,"","",82262
"Demand Answers",2,"Instant",R,"mkm","122",common,Red,Owned,Non-foil,false,,,"","",121722
"Desperate Ritual",2,"Instant - Arcane",R,"mma","110",uncommon,Red,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/792921990129254422/976904386821386240/Incandescent_Ritual_1.png","backside_custom","",48986
"Incinerate",2,"Instant",R,"m12","146",common,Red,Owned,Non-foil,false,,,"","",41135
"Increasing Vengeance",2,"Instant",R,"c19","147",rare,Red,Owned,Non-foil,false,,,"","",77408
"Punishing Fire",2,"Instant",R,"ddg","66",uncommon,Red,Owned,Non-foil,false,,,"","",40344
"Blast from the Past",3,"Instant",R,"unh","72",rare,Red,Owned,Non-foil,false,,,"","",
"Seething Song",3,"Instant",R,"mrd","104",common,Red,Owned,Non-foil,false,,,"","",19991
"Banefire",1,"Sorcery",R,"m19","130",rare,Red,Owned,Non-foil,false,,,"","",68421
"Burning Inquiry",1,"Sorcery",R,"plst","M10-128",common,Red,Owned,Non-foil,false,,"https://cdn.discordapp.com/attachments/792921990129254422/803357639526187018/Goblins_Gambit.png","backside_custom","",
"Chain Lightning",1,"Sorcery",R,"ema","123",uncommon,Red,Owned,Non-foil,false,,,"","",60669
